"County","County Name","Election District - Precinct","Congressional","Legislative","Office Name","Office District","Candidate Name","Party","Winner","Early Votes","Election Night Votes","Mail-In Ballot 1 Votes","Provisional Votes","Mail-In Ballot 2 Votes" 
"02","Anne Arundel County","001-001","03","32","Board of Education","001","Gloria D. Dent","NON","Y","9","38","20","10","1" 
"02","Anne Arundel County","001-001","03","32","Board of Education","001","Ciera M. Harlee","NON","","5","35","18","5","3" 
"02","Anne Arundel County","001-001","03","32","Board of Education","001","Sarah F. Lacey","NON","Y","9","65","22","7","3" 
"02","Anne Arundel County","001-001","03","32","Board of Education","001","Hunter J. Voss","NON","","16","107","22","1","0" 
"02","Anne Arundel County","001-002","03","32","Board of Education","001","Gloria D. Dent","NON","Y","6","38","25","9","4" 
"02","Anne Arundel County","001-002","03","32","Board of Education","001","Ciera M. Harlee","NON","","8","25","14","1","6" 
"02","Anne Arundel County","001-002","03","32","Board of Education","001","Sarah F. Lacey","NON","Y","5","57","24","5","1" 
"02","Anne Arundel County","001-002","03","32","Board of Education","001","Hunter J. Voss","NON","","10","85","20","9","2" 
"02","Anne Arundel County","001-003","03","32","Board of Education","001","Gloria D. Dent","NON","Y","16","34","33","6","4" 
"02","Anne Arundel County","001-003","03","32","Board of Education","001","Ciera M. Harlee","NON","","10","24","15","4","6" 
"02","Anne Arundel County","001-003","03","32","Board of Education","001","Sarah F. Lacey","NON","Y","18","38","38","1","3" 
"02","Anne Arundel County","001-003","03","32","Board of Education","001","Hunter J. Voss","NON","","7","47","25","3","2" 
"02","Anne Arundel County","001-004","03","12B","Board of Education","001","Gloria D. Dent","NON","Y","17","59","40","1","3" 
"02","Anne Arundel County","001-004","03","12B","Board of Education","001","Ciera M. Harlee","NON","","9","36","16","1","1" 
"02","Anne Arundel County","001-004","03","12B","Board of Education","001","Sarah F. Lacey","NON","Y","17","45","27","5","3" 
"02","Anne Arundel County","001-004","03","12B","Board of Education","001","Hunter J. Voss","NON","","12","34","14","3","3" 
"02","Anne Arundel County","001-005","03","32","Board of Education","001","Gloria D. Dent","NON","Y","75","113","130","17","20" 
"02","Anne Arundel County","001-005","03","32","Board of Education","001","Ciera M. Harlee","NON","","11","76","60","10","20" 
"02","Anne Arundel County","001-005","03","32","Board of Education","001","Sarah F. Lacey","NON","Y","44","74","78","12","6" 
"02","Anne Arundel County","001-005","03","32","Board of Education","001","Hunter J. Voss","NON","","35","53","46","9","15" 
